"Time (UTC)","Endpoint","Method","Location","Response Status","Latency","API"
"2025-02-22 15:20:59","Get Recipe Information","GET","Philippines",200,"4126ms","Recipe - Food - Nutrition"
"2025-02-22 14:30:48","Get Recipe Information","GET","Philippines",200,"4270ms","Recipe - Food - Nutrition"
"2025-02-22 15:18:31","Get Recipe Information","GET","Philippines",200,"4454ms","Recipe - Food - Nutrition"
"2025-02-22 16:00:36","/exercises/bodyPart/{bodyPart}","GET","Philippines",422,"4520ms","ExerciseDB"
"2025-02-22 14:17:31","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"5007ms","ExerciseDB"
"2025-02-22 15:12:12","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"5322ms","ExerciseDB"
"2025-02-22 14:17:02","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"5362ms","ExerciseDB"
"2025-02-22 16:06:00","Get Recipe Information","GET","Philippines",200,"5874ms","Recipe - Food - Nutrition"
"2025-02-22 15:01:32","Get Recipe Information","GET","Philippines",200,"6001ms","Recipe - Food - Nutrition"
"2025-02-22 14:57:04","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"6867ms","ExerciseDB"
"2025-02-22 14:15:32","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"7149ms","ExerciseDB"
"2025-02-22 14:15:28","/exercises/bodyPart/{bodyPart}","GET","Philippines",422,"8904ms","ExerciseDB"
"2025-02-22 14:38:44","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"9666ms","ExerciseDB"
"2025-02-22 14:51:34","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"10437ms","ExerciseDB"
"2025-02-22 14:49:00","Get Recipe Information","GET","Philippines",200,"11787ms","Recipe - Food - Nutrition"
"2025-02-21 14:18:46","Get Recipe Information","GET","Philippines",200,"14674ms","Recipe - Food - Nutrition"
"2025-02-23 22:39:53","/exercises/bodyPart/{bodyPart}","GET","Philippines",522,"19414ms","ExerciseDB"
"2025-02-23 22:36:49","/exercises/bodyPart/{bodyPart}","GET","Philippines",522,"19710ms","ExerciseDB"
"2025-02-23 23:06:10","Get Recipe Information","GET","Philippines",200,"20165ms","Recipe - Food - Nutrition"
"2025-02-22 15:17:54","Get Recipe Information","GET","Philippines",522,"78130ms","Recipe - Food - Nutrition"
